,X.1,X,Chamber,Chamber_pos,FishID,sex,pop,Channel,length,mass,mass_kg,Date,Temp,Weekday,Replicate,fitSlope,r_squared,MO2_mg_hr,MO2_mg_hr_kg,fifth_perc_MO2_mg_hr,fifth_perc_MO2_mg_hr_kg,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,Sensor_Name,slope_background_avg,fitSlope_background_corrected,MO2_mg_hr_background_corrected,MO2_mg_hr_kg_backgroun_corrected,fifth_perc_MO2_mg_hr_background_corrected,fifth_perc_MO2_mg_hr_kg_background_corrected,tenth_perc_MO2_mg_hr_background_corrected,tenth_perc_MO2_mg_hr_kg_background_corrected
1,1,1,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,2,18.7507445,0.995021069,12.59690016,545.3203533,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,14.40507891,9.677447253,418.9371105,6.577398484,284.7358651,6.609389416,286.1207539
2,2,2,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,4,19.75965719,0.989949127,13.27469578,574.662155,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,15.4139916,10.35524287,448.2789122,6.577398484,284.7358651,6.609389416,286.1207539
3,3,3,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,6,16.30970393,0.993124629,10.95698958,474.3285532,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.96403834,8.03753667,347.9453104,6.577398484,284.7358651,6.609389416,286.1207539
4,4,4,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,8,17.28297873,0.998233491,11.61084337,502.6339122,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.93731314,8.691390465,376.2506695,6.577398484,284.7358651,6.609389416,286.1207539
5,5,5,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,10,16.62793755,0.997485406,11.17078147,483.5836135,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.28227196,8.251328563,357.2003707,6.577398484,284.7358651,6.609389416,286.1207539
6,6,6,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,12,15.66509293,0.996462464,10.52393475,455.5815911,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.31942735,7.604481846,329.1983483,6.577398484,284.7358651,6.609389416,286.1207539
7,7,7,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,14,15.19536199,0.997446225,10.20836575,441.920595,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.8496964,7.288912837,315.5373523,6.577398484,284.7358651,6.609389416,286.1207539
8,8,8,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,16,16.30214375,0.997292381,10.95191059,474.1086834,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.95647816,8.032457679,347.7254406,6.577398484,284.7358651,6.609389416,286.1207539
9,9,9,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,18,17.77263274,0.99678382,11.93979686,516.8743228,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,13.42696715,9.020343948,390.49108,6.577398484,284.7358651,6.609389416,286.1207539
10,10,10,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,20,16.84999876,0.996773512,11.31996396,490.0417301,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.50433317,8.400511057,363.6584873,6.577398484,284.7358651,6.609389416,286.1207539
11,11,11,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,22,16.25558345,0.996265427,10.920631,472.7545889,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.90991786,8.001178096,346.3713462,6.577398484,284.7358651,6.609389416,286.1207539
12,12,12,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,24,16.68090427,0.995754664,11.20636494,485.1240232,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.33523868,8.286912028,358.7407804,6.577398484,284.7358651,6.609389416,286.1207539
13,13,13,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,26,15.30248518,0.999086471,10.28033196,445.0360156,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.95681959,7.360879053,318.6527729,6.577398484,284.7358651,6.609389416,286.1207539
14,14,14,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,28,16.75358177,0.997610474,11.25519026,487.2376736,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.40791618,8.335737351,360.8544308,6.577398484,284.7358651,6.609389416,286.1207539
15,15,15,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,30,16.63100276,0.996180761,11.1728407,483.6727576,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.28533717,8.253387794,357.2895149,6.577398484,284.7358651,6.609389416,286.1207539
16,16,16,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,32,16.23506978,0.996608048,10.90684976,472.1579983,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.88940419,7.987396852,345.7747555,6.577398484,284.7358651,6.609389416,286.1207539
17,17,17,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,34,17.20280308,0.99832466,11.55698073,500.3021962,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.85713749,8.637527825,373.9189535,6.577398484,284.7358651,6.609389416,286.1207539
18,18,18,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,36,15.26453239,0.999217894,10.25483498,443.9322502,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.91886681,7.335382071,317.5490074,6.577398484,284.7358651,6.609389416,286.1207539
19,19,19,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,38,15.27027811,0.998645004,10.258695,444.0993505,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.92461252,7.339242088,317.7161077,6.577398484,284.7358651,6.609389416,286.1207539
20,20,20,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,40,14.1432419,0.997267439,9.501543054,411.3222101,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.79757631,6.582090146,284.9389674,6.577398484,284.7358651,6.609389416,286.1207539
21,21,21,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,42,14.13706293,0.997830338,9.497391971,411.1425096,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.791397339,6.577939063,284.7592668,6.577398484,284.7358651,6.609389416,286.1207539
22,22,22,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,44,14.7596467,0.999431684,9.91564873,429.2488628,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.41398111,6.996195822,302.86562,6.577398484,284.7358651,6.609389416,286.1207539
23,23,23,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,46,14.81036124,0.998183749,9.949719161,430.7237732,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.46469565,7.030266253,304.3405304,6.577398484,284.7358651,6.609389416,286.1207539
24,24,24,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,48,14.64764541,0.997844019,9.840405367,425.9915744,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.30197982,6.920952459,299.6083316,6.577398484,284.7358651,6.609389416,286.1207539
25,25,25,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,50,14.20262807,0.998954215,9.541439156,413.0493141,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.856962478,6.621986248,286.6660714,6.577398484,284.7358651,6.609389416,286.1207539
26,26,26,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,52,14.85506796,0.999214075,9.979753496,432.0239609,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.50940237,7.060300588,305.6407181,6.577398484,284.7358651,6.609389416,286.1207539
27,27,27,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,54,22.51149078,0.998895113,15.1233996,654.6926234,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,18.1658252,12.20394669,528.3093807,6.577398484,284.7358651,6.609389416,286.1207539
28,28,28,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,56,15.0864362,0.997245638,10.13518853,438.7527504,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.74077061,7.215735625,312.3695076,6.577398484,284.7358651,6.609389416,286.1207539
29,29,29,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,58,17.89578581,0.996325357,12.02253207,520.4559339,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,13.55012022,9.103079165,394.0726911,6.577398484,284.7358651,6.609389416,286.1207539
30,30,30,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,60,17.3231809,0.996968296,11.63785151,503.8030958,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.97751531,8.718398605,377.419853,6.577398484,284.7358651,6.609389416,286.1207539
31,31,31,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,62,21.07529436,0.996294002,14.15855135,612.924301,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,16.72962877,11.23909845,486.5410582,6.577398484,284.7358651,6.609389416,286.1207539
32,32,32,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,64,15.88670784,0.998421403,10.67281742,462.0267281,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.54104225,7.753364512,335.6434854,6.577398484,284.7358651,6.609389416,286.1207539
33,33,33,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,66,14.92645446,0.999526645,10.02771152,434.1000656,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.58078887,7.108258608,307.7168228,6.577398484,284.7358651,6.609389416,286.1207539
34,34,34,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,68,14.8491501,0.998807967,9.975777832,431.8518542,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.50348451,7.056324924,305.4686114,6.577398484,284.7358651,6.609389416,286.1207539
35,35,35,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,70,15.52325983,0.999385715,10.42865014,451.4567161,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.17759424,7.509197234,325.0734733,6.577398484,284.7358651,6.609389416,286.1207539
36,36,36,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,72,15.22154926,0.99881898,10.22595857,442.682189,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.87588367,7.306505658,316.2989462,6.577398484,284.7358651,6.609389416,286.1207539
37,37,37,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,74,15.26114699,0.999143794,10.25256064,443.8337938,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.9154814,7.333107729,317.450551,6.577398484,284.7358651,6.609389416,286.1207539
38,38,38,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,76,15.71591293,0.997332993,10.55807603,457.0595686,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.37024734,7.638623126,330.6763258,6.577398484,284.7358651,6.609389416,286.1207539
39,39,39,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,78,15.26163656,0.999420819,10.25288953,443.8480317,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.91597097,7.333436624,317.4647889,6.577398484,284.7358651,6.609389416,286.1207539
40,40,40,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,80,15.47117713,0.999091931,10.39366056,449.9420157,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.12551154,7.474207655,323.558773,6.577398484,284.7358651,6.609389416,286.1207539
41,41,41,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,82,15.59123543,0.999007184,10.47431669,453.433623,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.24556984,7.554863783,327.0503802,6.577398484,284.7358651,6.609389416,286.1207539
42,42,42,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,84,16.08960466,0.997734164,10.80912513,467.9274946,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.74393907,7.889672218,341.5442518,6.577398484,284.7358651,6.609389416,286.1207539
43,43,43,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,86,15.75421189,0.993785523,10.58380558,458.1734017,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.4085463,7.664352671,331.7901589,6.577398484,284.7358651,6.609389416,286.1207539
